beta,sample,sim,high_cheese_mean,high_cheese_sd,low_cheese_mean,low_cheese_sd,p
0,60,92,0.71,0.2,0.8,0.21,0.115357414052278
0,60,93,0.87,0.26,0.76,0.17,0.0880155206360226
0,60,94,0.85,0.24,0.86,0.2,0.941539232277785
0,60,95,0.75,0.21,0.76,0.23,0.747445412497559
0,60,96,0.69,0.16,0.79,0.23,0.0737291372549364
0,60,97,0.8,0.18,0.75,0.18,0.28078755251761
0,60,98,0.73,0.2,0.79,0.25,0.352899406682799
0,60,99,0.81,0.21,0.83,0.2,0.707276704622179
0,60,100,0.78,0.13,0.8,0.18,0.791771551908009
0,70,1,0.77,0.15,0.79,0.19,0.64851063424026
0,70,2,0.83,0.2,0.8,0.19,0.546717197267655
0,70,3,0.77,0.21,0.81,0.21,0.518990209224877
0,70,4,0.86,0.17,0.8,0.2,0.248752590269169
0,70,5,0.84,0.21,0.76,0.19,0.114941828766234
0,70,6,0.82,0.22,0.85,0.19,0.543965057483289
0,70,7,0.82,0.24,0.81,0.2,0.932085632436847
0,70,8,0.79,0.21,0.83,0.17,0.337633207408193
0,70,9,0.83,0.2,0.88,0.21,0.262299289854542
0,70,10,0.83,0.18,0.84,0.19,0.833237230967252
0,70,11,0.86,0.21,0.79,0.18,0.139538972608678
0,70,12,0.78,0.2,0.82,0.18,0.399848411771538
0,70,13,0.81,0.2,0.78,0.19,0.498617225838053
0,70,14,0.81,0.23,0.77,0.21,0.491288972588768
0,70,15,0.75,0.16,0.76,0.17,0.693996892591685
0,70,16,0.81,0.2,0.77,0.19,0.38834314394939
0,70,17,0.75,0.21,0.85,0.19,0.0354908302294447
0,70,18,0.75,0.19,0.82,0.24,0.210220292744937
0,70,19,0.83,0.23,0.77,0.19,0.294800419721654
0,70,20,0.85,0.2,0.77,0.19,0.102872119137124
0,70,21,0.8,0.2,0.79,0.19,0.775071695318774
0,70,22,0.78,0.25,0.82,0.19,0.440795800345266
0,70,23,0.8,0.25,0.84,0.18,0.523741112320754
0,70,24,0.83,0.23,0.79,0.2,0.482998027347663
0,70,25,0.75,0.23,0.84,0.2,0.0946005598900135
0,70,26,0.79,0.17,0.81,0.24,0.624430463017628
0,70,27,0.75,0.19,0.72,0.22,0.60734351569242
0,70,28,0.77,0.19,0.79,0.19,0.784497976129888
0,70,29,0.79,0.18,0.82,0.2,0.57763011416652
0,70,30,0.75,0.23,0.81,0.2,0.292762642269211
0,70,31,0.8,0.21,0.82,0.22,0.686524298799588
0,70,32,0.78,0.17,0.8,0.21,0.613497648339768
0,70,33,0.85,0.26,0.76,0.19,0.110979967791956
0,70,34,0.78,0.23,0.8,0.18,0.807409802088227
0,70,35,0.79,0.23,0.76,0.25,0.718110544380462
0,70,36,0.79,0.28,0.8,0.19,0.83967433380147
0,70,37,0.86,0.16,0.74,0.22,0.0156409885386308
